user_id,transaction_id,transaction_amount,transaction_count_7d,transaction_count_30d,avg_transaction_amount_30d,is_weekend,device_type,location_city,is_fraud,event_timestamp,created_timestamp
1,1477,103.23,1,1,103.23,True,mobile,Surabaya,False,2026-01-17 04:33:45.293181,2026-03-02 03:05:12.293181
1,5000,69.77,2,2,86.5,False,web,Bandung,False,2026-01-23 02:41:14.293181,2026-03-02 03:05:12.293181
1,244,18.22,1,3,63.74,False,mobile,Surabaya,False,2026-02-05 17:14:26.293181,2026-03-02 03:05:12.293181
1,4962,91.95,2,4,70.79,False,mobile,Surabaya,False,2026-02-11 23:02:09.293181,2026-03-02 03:05:12.293181
1,2763,17.51,1,3,42.56,False,web,Jakarta,False,2026-02-23 06:02:15.293181,2026-03-02 03:05:12.293181
1,717,38.76,2,4,41.61,False,mobile,Semarang,False,2026-02-25 09:11:11.293181,2026-03-02 03:05:12.293181
1,769,43.95,3,5,42.08,False,mobile,Semarang,False,2026-02-27 04:01:52.293181,2026-03-02 03:05:12.293181
2,1565,263.75,1,1,263.75,True,web,Medan,False,2026-01-04 23:17:48.293181,2026-03-02 03:05:12.293181
2,1339,17.02,1,2,140.38,False,mobile,Semarang,False,2026-01-15 17:20:54.293181,2026-03-02 03:05:12.293181
2,565,86.55,1,3,122.44,False,mobile,Jakarta,False,2026-01-28 22:43:28.293181,2026-03-02 03:05:12.293181
2,213,101.57,2,4,117.22,True,mobile,Surabaya,False,2026-02-01 22:23:52.293181,2026-03-02 03:05:12.293181
2,408,69.55,1,4,68.67,False,mobile,Medan,False,2026-02-13 15:26:42.293181,2026-03-02 03:05:12.293181
2,2003,148.59,2,4,101.56,False,mobile,Semarang,False,2026-02-17 16:39:12.293181,2026-03-02 03:05:12.293181
2,4908,35.72,3,5,88.4,False,mobile,Bandung,False,2026-02-18 13:04:07.293181,2026-03-02 03:05:12.293181
2,3768,31.46,1,6,78.91,False,web,Medan,False,2026-02-26 22:26:17.293181,2026-03-02 03:05:12.293181
2,3825,171.48,2,6,93.06,True,mobile,Surabaya,False,2026-02-28 22:05:24.293181,2026-03-02 03:05:12.293181
