house_id,event_timestamp,house_size,bedrooms,bathrooms,floors,year_built,location_score,distance_city,garage,garden,school_rating,crime_rate,house_price
1,2021-04-13,84,3,3,1,1995,6.2,23.99,0,1,9.0,0.603,411118
2,2022-03-12,161,3,2,1,2020,8.8,16.45,1,0,2.13,0.003,662925
3,2023-05-11,335,3,1,2,2000,8.01,19.49,2,1,5.8,0.208,1297310
4,2021-09-28,85,4,1,2,1994,9.58,22.32,0,1,9.64,0.23,540141
5,2021-04-17,266,1,1,1,2013,1.58,19.1,2,0,6.39,0.247,886950
6,2021-03-13,129,4,1,1,2022,1.26,14.28,2,1,8.22,0.557,537894
7,2022-12-02,132,1,3,2,1999,2.58,12.06,0,0,4.36,0.206,503026
8,2021-01-21,114,5,2,2,2010,9.36,20.67,1,1,4.4,0.413,608008
9,2022-09-07,177,5,3,1,1994,6.45,19.41,0,1,3.93,0.173,775048
10,2021-05-02,71,1,2,1,2007,4.84,9.48,2,1,1.2,0.667,298796
11,2022-04-12,265,4,1,2,1985,5.61,12.71,2,0,9.32,0.569,1064077
12,2021-08-03,156,2,1,2,1982,8.47,16.06,2,1,4.15,0.629,693073
13,2021-11-27,158,4,1,1,2017,9.36,1.2,0,1,4.3,0.967,759009
14,2022-04-04,230,2,1,2,2002,7.57,6.57,2,1,7.84,0.399,974527
15,2021-03-29,213,4,1,2,1982,7.84,6.63,0,1,5.74,0.215,916804
16,2022-01-08,117,3,3,1,1987,3.88,22.14,0,1,4.26,0.999,438902
17,2021-04-10,341,3,2,2,1981,5.2,8.62,2,0,8.95,0.058,1323146
18,2023-05-22,229,5,3,1,1986,8.97,13.86,2,1,8.43,0.81,1029286
19,2022-10-26,230,5,1,2,1996,8.07,20.87,2,1,9.79,0.162,974351
20,2021-05-11,218,1,2,1,1986,7.16,6.86,1,0,6.77,0.665,915265
21,2022-10-24,71,2,2,2,2012,1.59,3.53,1,0,7.21,0.474,337643
22,2021-11-05,115,3,1,2,2015,1.36,23.73,1,0,3.92,0.839,354322
23,2023-02-09,70,4,2,1,1983,2.17,17.76,2,1,1.9,0.731,294229
24,2021-12-10,149,1,3,1,1995,6.23,4.84,2,0,1.95,0.172,620639
25,2022-05-07,349,4,3,2,2000,5.83,20.58,1,1,6.81,0.665,1287887
26,2022-02-18,152,3,3,1,1997,9.48,19.78,0,1,2.02,0.217,704672
27,2023-03-17,96,3,3,1,2007,7.25,21.02,1,0,9.16,0.169,511496
28,2022-01-21,88,3,2,2,2022,3.65,7.27,1,0,7.33,0.084,475839
29,2021-07-11,334,3,3,2,1995,2.45,11.49,0,0,3.04,0.114,1150588
30,2021-10-04,139,4,2,2,2001,8.65,17.5,1,1,3.51,0.704,658814
31,2021-06-10,134,1,1,1,1985,5.14,10.07,1,1,7.39,0.992,532339
32,2022-04-05,322,3,3,2,2009,6.88,2.21,1,1,8.42,0.676,1306252
33,2021-11-10,237,5,1,2,2007,6.09,3.84,0,1,8.55,0.708,1033328
34,2021-01-22,208,1,3,1,1996,1.97,15.13,0,0,6.41,0.783,730311
35,2021-09-10,292,5,1,1,2015,1.51,9.69,1,1,2.4,0.889,983195
36,2023-01-18,122,4,1,1,1991,4.39,0.63,2,1,8.37,0.268,635379
37,2023-05-07,98,3,1,2,2019,4.25,19.29,1,0,8.12,0.605,404040
38,2022-07-15,150,1,1,1,1991,7.06,10.71,0,0,8.52,0.217,686244
39,2022-04-20,51,3,1,2,2015,6.69,8.19,0,1,2.42,0.526,324300
40,2021-02-28,293,3,2,2,2019,9.72,17.98,0,1,7.16,0.209,1182145
41,2022-05-26,225,1,2,2,2008,8.72,11.65,2,1,9.64,0.064,996986
42,2022-11-13,287,3,3,2,1981,5.47,17.52,2,0,3.3,0.088,1039102
43,2022-04-21,108,3,2,1,2008,5.5,0.82,2,1,7.45,0.976,582489
44,2022-12-01,148,2,1,1,2009,7.07,0.73,1,1,3.33,0.006,682876
45,2023-02-22,51,2,2,1,2015,2.03,14.22,0,0,3.76,0.69,183144
46,2021-07-09,292,1,2,1,2004,10.0,24.56,1,0,5.37,0.887,1062580
47,2022-11-18,346,1,1,2,2000,5.67,7.17,1,0,9.05,0.394,1295120
48,2022-07-17,260,3,2,1,2001,9.19,17.23,2,1,1.35,0.708,994622
49,2023-05-26,172,5,1,2,1989,9.71,4.72,1,0,9.91,0.349,881739
50,2022-07-21,278,1,2,1,2010,6.23,8.13,2,0,7.95,0.529,1085420
51,2021-09-01,131,3,1,1,1988,1.93,2.41,2,0,4.24,0.936,547176
52,2023-04-12,193,5,3,2,2020,6.16,22.08,0,1,4.19,0.042,798182
53,2022-05-20,189,2,2,2,2018,6.38,8.11,0,0,5.35,0.267,805932
54,2021-05-11,78,1,3,2,2013,8.1,6.15,1,0,8.88,0.106,473050
55,2022-04-30,319,3,1,1,2018,1.43,18.4,1,0,1.16,0.496,1041703
56,2023-03-30,296,2,1,2,2020,5.2,5.39,0,1,5.93,0.77,1083673
57,2022-10-09,61,4,3,1,2002,9.3,6.39,1,0,1.5,0.977,415494
58,2021-01-21,155,2,1,2,1991,9.92,3.04,0,0,2.04,0.155,772188
59,2023-04-21,81,3,1,1,1986,2.72,24.09,0,1,7.22,0.044,328776
60,2021-06-16,123,5,1,2,2011,8.84,6.57,2,1,3.11,0.138,660023
61,2021-10-01,220,4,1,2,1998,2.32,24.89,0,0,1.37,0.969,659285
62,2022-01-23,118,4,1,2,2001,8.57,4.82,0,1,2.48,0.32,590756
63,2022-08-24,186,4,1,2,1995,3.5,1.01,2,0,2.88,0.267,763682
64,2021-11-12,149,1,1,1,1987,9.64,22.44,2,1,7.93,0.735,647650
65,2021-01-14,195,3,1,1,2009,7.26,14.71,2,1,6.62,0.121,848778
66,2021-08-30,58,4,3,1,1985,4.59,9.11,2,1,7.62,0.349,444849
67,2023-02-16,111,2,2,1,1981,3.53,13.08,0,0,4.33,0.145,422492
68,2021-12-12,234,5,1,2,2013,3.12,6.89,0,1,2.02,0.974,866889
69,2022-07-19,78,3,3,2,2008,7.13,16.05,0,0,8.25,0.285,425135
70,2023-06-17,163,2,1,1,2019,9.06,15.6,0,1,2.26,0.269,697075
71,2021-12-06,192,1,2,1,2021,7.79,2.46,0,0,4.44,0.634,788032
72,2021-04-02,169,4,1,1,2022,8.51,22.81,0,1,3.36,0.017,683577
73,2022-01-02,219,2,3,1,1999,8.03,11.78,2,0,3.67,0.654,942381
74,2022-03-31,206,3,3,1,1982,9.81,5.28,0,0,6.42,0.454,992578
75,2022-03-04,309,2,2,2,2014,7.82,8.03,2,0,2.48,0.184,1175850
76,2022-05-24,131,1,1,2,1987,2.89,21.72,2,0,5.01,0.486,475092
77,2023-02-15,291,5,3,1,1991,8.12,9.89,0,0,6.75,0.999,1175148
78,2021-02-04,221,4,2,1,2022,3.9,14.27,2,1,8.82,0.839,844252
79,2021-07-25,280,3,2,2,2011,9.96,23.72,0,0,4.34,0.974,1058688
80,2021-03-22,257,4,1,1,2008,4.39,16.47,1,1,3.87,0.926,936624
81,2022-07-16,124,4,3,1,2000,3.64,17.06,2,1,4.31,0.82,529338
82,2023-05-22,319,4,1,2,1982,3.15,6.59,1,1,5.51,0.335,1145243
83,2022-01-23,163,2,1,2,2017,6.93,16.87,2,1,3.82,0.73,628167
84,2021-01-02,111,2,1,2,2006,1.98,10.15,0,1,3.25,0.392,430361
85,2022-01-25,151,5,3,1,1982,9.58,22.82,0,0,4.38,0.43,670875
86,2022-07-20,259,1,2,1,1980,3.65,3.67,0,1,8.0,0.873,991895
87,2021-04-16,304,3,1,2,1999,3.66,7.5,0,0,3.28,0.205,1079562
88,2023-02-11,69,2,1,1,1986,1.41,2.12,2,0,8.6,0.297,329028
89,2023-04-02,107,4,3,1,2020,3.21,9.83,0,1,3.57,0.931,433960
90,2022-04-22,161,1,1,1,1980,4.77,4.14,1,0,6.43,0.7,663851
91,2022-12-04,245,3,2,1,1989,4.33,21.21,2,1,9.74,0.065,956647
92,2022-02-06,141,3,1,1,1991,3.46,23.16,1,0,9.57,0.122,582086
93,2022-12-31,101,3,2,2,1983,1.37,16.9,0,0,4.91,0.58,356489
94,2022-07-10,342,3,1,1,1986,3.71,3.03,0,1,1.61,0.799,1200993
95,2021-06-11,57,5,1,2,1989,8.0,8.87,0,0,9.12,0.793,471361
96,2021-07-21,349,3,1,2,2001,4.95,24.13,2,0,2.14,0.425,1153622
97,2021-09-27,147,1,2,1,2004,3.62,3.84,1,0,9.31,0.259,638363
98,2023-05-13,285,2,1,2,2008,3.74,14.13,0,1,7.59,0.788,1016435
99,2023-03-27,118,1,1,2,2018,5.99,9.15,0,1,9.41,0.944,519665
100,2021-09-28,94,4,1,1,1994,3.72,24.98,0,0,6.99,0.444,376382
101,2022-04-01,186,5,2,2,1998,6.68,7.49,2,0,9.96,0.137,890598
102,2022-04-07,283,5,1,1,2018,9.91,1.67,2,1,5.2,0.61,1255553
103,2022-12-28,81,4,3,1,1997,1.37,17.7,0,0,3.97,0.072,318591
104,2021-09-09,338,1,2,2,2021,2.52,8.51,1,1,4.54,0.612,1152056
105,2022-12-03,175,1,3,1,1982,2.61,16.61,0,1,4.15,0.173,660959
106,2021-10-23,116,4,1,2,1985,5.02,3.06,2,0,4.61,0.516,582179
107,2022-12-26,79,3,2,2,2001,1.37,13.32,0,1,8.97,0.625,372056
108,2022-12-21,163,3,2,1,2020,5.3,9.69,1,1,6.33,0.447,723951
109,2023-01-19,253,2,1,1,2010,9.36,13.65,2,0,7.53,0.827,1007760
110,2021-12-04,78,1,3,1,2000,1.1,21.41,1,1,3.59,0.375,233665
111,2023-05-29,180,1,2,1,1987,4.28,24.33,1,0,9.91,0.155,650957
112,2021-02-22,234,4,2,1,1980,7.85,18.95,0,0,3.53,0.464,896751
113,2023-03-03,302,4,2,1,1982,2.39,19.29,2,1,2.43,0.964,1037063
114,2021-08-05,335,3,2,1,2008,1.7,13.46,2,1,8.0,0.88,1171986
115,2023-02-03,111,1,2,1,1985,6.68,2.89,2,0,8.55,0.311,612657
116,2021-07-07,52,1,1,1,2012,1.09,16.84,1,1,4.54,0.243,198605
117,2022-01-15,117,5,2,1,1997,8.22,4.12,2,0,5.87,0.483,698757
118,2022-05-08,74,2,3,2,2021,1.6,6.52,1,0,4.73,0.655,342599
119,2021-02-10,228,2,2,2,1980,5.72,17.84,2,0,3.65,0.927,824828
120,2021-06-06,190,3,1,1,2001,7.66,16.6,0,0,8.32,0.613,759584
121,2021-01-15,280,1,1,1,2010,3.18,8.2,1,1,7.81,0.836,1041275
122,2023-03-24,349,5,3,1,2002,1.93,19.42,0,0,5.37,0.696,1211084
123,2021-03-06,212,1,2,1,1987,2.58,23.51,0,1,5.1,0.102,713753
124,2023-05-07,179,4,3,1,2008,8.69,13.86,0,0,2.62,0.892,765450
125,2023-04-19,295,3,3,2,1998,7.35,17.1,0,0,6.74,0.2,1103550
126,2022-06-05,346,2,3,1,1995,2.78,7.16,1,0,9.31,0.367,1278548
