transaction_id,date,customer_id,gender,age,product_category,quantity,price_per_unit,total_amount,channel,payment_method,membership_tier
1,2023-12-15,CUST1127,Male,41,Beauty,5,102,510,Store,E-Wallet,Gold
2,2023-12-10,CUST0770,Female,61,Home,2,263,526,Store,Credit Card,Gold
3,2023-06-19,CUST1083,Male,68,Home,4,123,492,Store,Credit Card,Bronze
4,2023-10-01,CUST0167,Female,37,Home,1,149,149,Online,Cash,Gold
5,2023-09-21,CUST0509,Female,59,Beauty,1,23,23,Online,Debit Card,Bronze
6,2023-08-06,CUST0703,Female,31,Home,2,107,214,Store,E-Wallet,Bronze
7,2023-08-01,CUST0296,Female,62,Sports,2,237,474,Store,Credit Card,Gold
8,2023-12-11,CUST0065,Male,52,Electronics,1,671,671,Store,Cash,Bronze
9,2023-02-10,CUST0231,Male,61,Home,1,121,121,Online,Debit Card,Gold
10,2023-08-15,CUST0961,Female,59,Sports,3,64,192,Online,Credit Card,Gold
11,2023-08-19,CUST0864,Male,62,Electronics,4,295,1180,Store,Cash,Bronze
12,2023-01-13,CUST1060,Female,23,Beauty,3,85,255,Online,E-Wallet,Silver
13,2023-08-13,CUST0190,Male,23,Electronics,1,482,482,Online,Cash,Bronze
14,2023-06-14,CUST0318,Female,49,Electronics,3,433,1299,Online,Credit Card,Bronze
15,2023-02-21,CUST0442,Male,19,Home,2,140,280,Online,E-Wallet,Silver
16,2023-08-12,CUST0855,Female,49,Electronics,1,602,602,Online,E-Wallet,Gold
17,2023-07-22,CUST0836,Female,39,Beauty,1,88,88,Store,Cash,Bronze
18,2023-07-06,CUST1148,Female,24,Sports,3,197,591,Online,Credit Card,Bronze
19,2023-12-04,CUST0551,Male,24,Electronics,3,672,2016,Online,E-Wallet,Silver
20,2023-03-01,CUST0624,Male,26,Electronics,2,503,1006,Store,Cash,Gold
21,2023-07-27,CUST0816,Male,66,Beauty,4,52,208,Online,E-Wallet,Silver
22,2023-12-06,CUST0104,Female,35,Beauty,1,112,112,Online,Debit Card,Gold
23,2023-06-18,CUST0957,Female,25,Home,1,80,80,Store,Cash,Bronze
24,2023-02-02,CUST0640,Female,55,Home,3,297,891,Store,Cash,Silver
25,2023-08-14,CUST0027,Female,65,Sports,1,246,246,Store,E-Wallet,Gold
26,2023-01-17,CUST1073,Male,54,Home,4,158,632,Online,Credit Card,Bronze
27,2023-06-30,CUST0302,Female,35,Beauty,4,106,424,Store,Debit Card,Gold
28,2023-02-27,CUST0566,Male,59,Beauty,2,42,84,Online,Debit Card,Bronze
29,2023-10-26,CUST1128,Male,24,Sports,2,201,402,Store,E-Wallet,Bronze
30,2023-11-17,CUST0020,Female,40,Home,3,157,471,Store,Debit Card,Gold
31,2023-07-09,CUST0575,Female,32,Sports,2,219,438,Online,Cash,Bronze
32,2023-09-21,CUST0993,Female,69,Sports,4,158,632,Online,Cash,Gold
33,2023-11-04,CUST0823,Male,36,Sports,2,169,338,Online,Debit Card,Gold
34,2023-04-27,CUST0741,Female,65,Electronics,4,257,1028,Store,E-Wallet,Bronze
35,2023-09-29,CUST0897,Male,39,Sports,5,228,1140,Store,Credit Card,Silver
36,2023-02-16,CUST1093,Male,56,Electronics,4,652,2608,Online,Credit Card,Silver
37,2023-01-23,CUST0357,Female,36,Clothing,2,73,146,Online,E-Wallet,Bronze
38,2023-11-21,CUST1016,Female,44,Sports,4,177,708,Online,E-Wallet,Silver
39,2023-02-02,CUST0380,Male,57,Electronics,5,626,3130,Online,Cash,Bronze
40,2023-01-12,CUST0397,Female,46,Clothing,5,74,370,Online,Debit Card,Silver
41,2023-04-25,CUST1022,Female,42,Electronics,4,700,2800,Store,Credit Card,Bronze
42,2023-12-23,CUST0676,Female,40,Electronics,3,298,894,Online,E-Wallet,Bronze
43,2023-08-05,CUST0279,Male,39,Beauty,1,81,81,Store,Cash,Gold
44,2023-04-10,CUST0177,Female,31,Home,5,68,340,Store,E-Wallet,Gold
45,2023-03-10,CUST0144,Male,33,Beauty,4,104,416,Store,Cash,Bronze
46,2023-07-05,CUST1066,Male,27,Clothing,5,114,570,Online,E-Wallet,Bronze
47,2023-05-21,CUST1198,Male,25,Clothing,1,44,44,Online,Credit Card,Bronze
48,2023-05-25,CUST0500,Male,61,Electronics,5,331,1655,Online,Cash,Gold
49,2023-12-12,CUST0714,Female,45,Beauty,3,111,333,Online,Credit Card,Gold
50,2023-12-14,CUST1025,Male,23,Electronics,4,568,2272,Online,E-Wallet,Bronze
51,2023-06-22,CUST0672,Male,36,Sports,5,213,1065,Online,Credit Card,Silver
52,2023-08-21,CUST0047,Male,29,Electronics,1,572,572,Online,E-Wallet,Silver
53,2023-06-05,CUST0972,Female,45,Sports,2,109,218,Online,Credit Card,Bronze
54,2023-07-11,CUST0740,Male,23,Beauty,1,32,32,Online,Cash,Bronze
55,2023-01-10,CUST0450,Female,49,Clothing,3,158,474,Store,Credit Card,Gold
56,2023-10-09,CUST0853,Female,23,Electronics,3,660,1980,Online,Credit Card,Bronze
57,2023-01-23,CUST0771,Male,63,Sports,5,127,635,Store,Cash,Bronze
58,2023-09-17,CUST0717,Female,56,Electronics,1,687,687,Online,Debit Card,Silver
59,2023-04-28,CUST0438,Female,47,Beauty,3,84,252,Store,Credit Card,Bronze
60,2023-09-12,CUST0624,Female,51,Sports,5,215,1075,Online,Debit Card,Silver
61,2023-12-01,CUST0798,Female,47,Beauty,3,57,171,Store,Debit Card,Gold
62,2023-05-13,CUST0081,Female,22,Sports,4,133,532,Online,Debit Card,Bronze
63,2023-05-06,CUST0205,Male,33,Beauty,3,74,222,Online,E-Wallet,Bronze
64,2023-04-03,CUST0667,Female,39,Clothing,5,186,930,Store,Debit Card,Bronze
65,2023-08-21,CUST0645,Male,26,Home,2,137,274,Online,Credit Card,Gold
66,2023-08-02,CUST1145,Male,52,Beauty,5,55,275,Store,E-Wallet,Gold
67,2023-05-07,CUST0303,Female,68,Clothing,4,169,676,Store,Cash,Gold
68,2023-08-26,CUST0919,Female,42,Beauty,4,118,472,Store,Credit Card,Silver
69,2023-09-30,CUST1063,Female,27,Clothing,4,184,736,Store,Credit Card,Bronze
70,2023-04-21,CUST1170,Female,69,Home,2,228,456,Online,E-Wallet,Silver
71,2023-12-31,CUST0315,Male,65,Sports,1,119,119,Online,Debit Card,Gold
72,2023-04-05,CUST0350,Female,48,Electronics,3,442,1326,Online,Debit Card,Gold
73,2023-12-01,CUST0004,Male,62,Electronics,3,773,2319,Online,Credit Card,Silver
74,2023-11-20,CUST1142,Female,31,Beauty,4,31,124,Online,Debit Card,Bronze
75,2023-12-22,CUST0139,Male,27,Sports,3,54,162,Online,Debit Card,Bronze
76,2023-05-10,CUST1192,Male,32,Home,1,76,76,Online,Debit Card,Gold
77,2023-11-01,CUST1119,Female,52,Sports,4,211,844,Store,Credit Card,Silver
78,2023-08-17,CUST0873,Female,21,Home,3,182,546,Store,Credit Card,Silver
79,2023-10-23,CUST0089,Male,42,Beauty,5,42,210,Store,Credit Card,Gold
80,2023-11-05,CUST0503,Female,59,Beauty,3,86,258,Online,E-Wallet,Gold
81,2023-08-19,CUST0478,Male,50,Beauty,4,76,304,Online,E-Wallet,Silver
82,2023-05-03,CUST0517,Female,62,Clothing,1,77,77,Online,E-Wallet,Gold
83,2023-05-16,CUST1181,Male,48,Sports,5,179,895,Store,Cash,Silver
84,2023-05-28,CUST0069,Female,63,Beauty,2,91,182,Store,E-Wallet,Silver
85,2023-04-14,CUST0141,Male,25,Clothing,1,139,139,Store,Debit Card,Bronze
86,2023-10-14,CUST0604,Female,28,Clothing,1,68,68,Store,Credit Card,Silver
87,2023-07-01,CUST0420,Male,26,Electronics,1,766,766,Store,Credit Card,Silver
88,2023-04-27,CUST0313,Female,24,Clothing,1,64,64,Online,Cash,Silver
89,2023-01-17,CUST0347,Female,41,Beauty,3,44,132,Store,Credit Card,Bronze
90,2023-05-30,CUST0063,Male,66,Clothing,4,88,352,Online,Debit Card,Silver
91,2023-03-04,CUST0476,Male,36,Sports,1,228,228,Online,E-Wallet,Silver
92,2023-11-01,CUST0285,Male,31,Sports,5,67,335,Store,Cash,Silver
93,2023-04-23,CUST0194,Female,27,Clothing,3,196,588,Online,Cash,Silver
94,2023-03-28,CUST0162,Male,20,Home,2,124,248,Online,Cash,Gold
