user_id,event_timestamp,age,tenure_months,monthly_spend,num_logins_last_30d,num_support_tickets,churn
1,2026-03-01 10:00:00,43,39,150.78,21,4,0
2,2026-03-01 10:00:00,40,52,171.55,29,2,0
3,2026-03-01 10:00:00,23,29,122.17,20,3,0
4,2026-03-01 10:00:00,44,15,152.82,22,4,0
5,2026-03-01 10:00:00,38,43,82.3,17,3,0
6,2026-03-01 10:00:00,54,8,157.42,23,1,1
7,2026-03-01 10:00:00,64,21,173.38,25,3,0
8,2026-03-01 10:00:00,51,39,142.3,30,1,0
9,2026-03-01 10:00:00,36,58,157.53,13,4,0
10,2026-03-01 10:00:00,18,19,144.01,20,2,0
11,2026-03-01 10:00:00,66,23,57.04,21,1,0
12,2026-03-01 10:00:00,53,11,91.93,27,1,0
13,2026-03-01 10:00:00,35,11,154.06,19,2,0
14,2026-03-01 10:00:00,19,24,94.85,18,1,0
15,2026-03-01 10:00:00,36,53,105.08,18,2,0
16,2026-03-01 10:00:00,33,36,138.11,20,4,0
17,2026-03-01 10:00:00,56,40,147.47,11,2,0
18,2026-03-01 10:00:00,64,24,111.63,25,4,0
19,2026-03-01 10:00:00,52,3,78.37,25,0,1
20,2026-03-01 10:00:00,44,22,133.42,25,1,0
21,2026-03-01 10:00:00,54,53,74.32,21,0,0
22,2026-03-01 10:00:00,64,2,160.8,11,1,0
23,2026-03-01 10:00:00,44,24,131.09,14,1,0
24,2026-03-01 10:00:00,25,44,160.34,20,1,0
25,2026-03-01 10:00:00,68,30,115.91,24,1,0
26,2026-03-01 10:00:00,52,38,121.01,21,1,0
27,2026-03-01 10:00:00,50,2,85.97,20,3,0
28,2026-03-01 10:00:00,64,21,20.0,25,0,0
29,2026-03-01 10:00:00,37,33,80.36,16,3,0
30,2026-03-01 10:00:00,21,12,71.39,26,1,0
31,2026-03-01 10:00:00,66,58,87.14,13,2,0
32,2026-03-01 10:00:00,68,22,118.23,21,1,0
33,2026-03-01 10:00:00,55,44,127.8,23,2,0
34,2026-03-01 10:00:00,54,25,118.01,18,1,0
35,2026-03-01 10:00:00,63,49,66.6,23,2,0
36,2026-03-01 10:00:00,31,27,161.76,25,1,0
37,2026-03-01 10:00:00,40,59,133.64,21,2,0
38,2026-03-01 10:00:00,22,42,36.44,26,3,0
39,2026-03-01 10:00:00,31,28,98.69,16,3,0
40,2026-03-01 10:00:00,61,16,96.2,19,1,1
41,2026-03-01 10:00:00,45,15,151.1,27,1,0
42,2026-03-01 10:00:00,31,47,79.92,22,0,0
43,2026-03-01 10:00:00,50,51,35.29,17,0,0
44,2026-03-01 10:00:00,36,44,148.23,18,2,0
45,2026-03-01 10:00:00,23,55,122.73,15,0,0
46,2026-03-01 10:00:00,32,52,101.85,16,1,0
47,2026-03-01 10:00:00,58,57,166.52,19,1,0
48,2026-03-01 10:00:00,37,3,66.56,21,2,1
49,2026-03-01 10:00:00,67,37,163.78,17,2,0
50,2026-03-01 10:00:00,21,51,168.26,20,3,0
51,2026-03-01 10:00:00,31,7,182.4,26,3,0
52,2026-03-01 10:00:00,65,21,145.58,14,2,0
53,2026-03-01 10:00:00,54,9,83.64,22,3,0
54,2026-03-01 10:00:00,39,39,107.86,16,2,0
55,2026-03-01 10:00:00,26,18,135.3,23,0,0
56,2026-03-01 10:00:00,18,4,171.47,29,3,1
57,2026-03-01 10:00:00,22,25,102.35,19,1,0
58,2026-03-01 10:00:00,43,14,85.76,23,1,0
59,2026-03-01 10:00:00,47,50,142.67,26,2,0
60,2026-03-01 10:00:00,18,58,128.69,17,2,0
61,2026-03-01 10:00:00,35,9,134.32,8,2,0
62,2026-03-01 10:00:00,51,26,158.87,26,6,1
63,2026-03-01 10:00:00,36,53,137.26,22,1,0
64,2026-03-01 10:00:00,45,2,106.84,25,4,1
65,2026-03-01 10:00:00,41,20,161.82,26,2,0
66,2026-03-01 10:00:00,25,28,127.45,28,4,1
67,2026-03-01 10:00:00,66,47,140.35,16,1,0
68,2026-03-01 10:00:00,28,7,170.14,20,3,0
69,2026-03-01 10:00:00,27,44,108.75,21,2,0
70,2026-03-01 10:00:00,23,8,122.95,22,0,0
71,2026-03-01 10:00:00,32,47,169.67,20,4,0
72,2026-03-01 10:00:00,43,35,112.68,31,2,0
73,2026-03-01 10:00:00,50,14,150.85,19,1,0
74,2026-03-01 10:00:00,31,17,87.52,23,0,0
75,2026-03-01 10:00:00,38,36,146.7,27,1,0
76,2026-03-01 10:00:00,52,50,171.82,19,1,0
77,2026-03-01 10:00:00,62,40,115.08,14,2,0
78,2026-03-01 10:00:00,48,4,158.17,25,4,1
79,2026-03-01 10:00:00,51,2,143.95,17,1,0
80,2026-03-01 10:00:00,28,6,73.97,19,1,0
81,2026-03-01 10:00:00,38,54,125.81,21,5,0
82,2026-03-01 10:00:00,26,42,140.03,28,1,0
83,2026-03-01 10:00:00,24,4,165.48,21,3,0
84,2026-03-01 10:00:00,54,54,126.68,28,6,0
85,2026-03-01 10:00:00,44,29,154.99,18,7,0
86,2026-03-01 10:00:00,21,18,109.53,19,2,0
87,2026-03-01 10:00:00,31,26,79.21,22,4,1
88,2026-03-01 10:00:00,54,44,47.51,15,1,1
89,2026-03-01 10:00:00,68,34,95.05,24,2,0
90,2026-03-01 10:00:00,68,10,44.39,7,2,0
91,2026-03-01 10:00:00,42,36,67.56,10,4,0
92,2026-03-01 10:00:00,39,14,20.0,20,0,0
93,2026-03-01 10:00:00,24,31,87.91,17,3,0
94,2026-03-01 10:00:00,24,48,60.13,18,1,0
95,2026-03-01 10:00:00,65,15,105.65,17,1,0
96,2026-03-01 10:00:00,24,8,121.41,19,3,0
97,2026-03-01 10:00:00,21,14,56.36,18,1,0
98,2026-03-01 10:00:00,41,23,176.21,23,3,0
99,2026-03-01 10:00:00,68,57,174.46,27,2,0
100,2026-03-01 10:00:00,27,40,113.57,19,4,1
101,2026-03-01 10:00:00,36,21,140.46,30,1,0
102,2026-03-01 10:00:00,29,16,128.19,9,4,1
103,2026-03-01 10:00:00,65,45,96.74,20,2,0
104,2026-03-01 10:00:00,46,18,62.43,17,3,0
105,2026-03-01 10:00:00,21,47,95.38,24,1,0
106,2026-03-01 10:00:00,65,53,98.59,23,5,0
107,2026-03-01 10:00:00,55,24,168.38,24,2,0
108,2026-03-01 10:00:00,67,26,171.43,17,4,0
109,2026-03-01 10:00:00,42,25,72.92,22,4,1
110,2026-03-01 10:00:00,49,45,118.92,21,0,0
111,2026-03-01 10:00:00,61,41,135.31,28,1,0
112,2026-03-01 10:00:00,53,29,232.02,24,2,0
113,2026-03-01 10:00:00,59,15,56.49,23,1,0
114,2026-03-01 10:00:00,61,45,205.18,18,2,0
115,2026-03-01 10:00:00,18,1,113.4,25,2,0
116,2026-03-01 10:00:00,64,25,89.03,19,0,0
117,2026-03-01 10:00:00,24,7,74.69,24,3,0
118,2026-03-01 10:00:00,51,9,83.69,18,0,0
119,2026-03-01 10:00:00,64,24,170.21,21,3,0
120,2026-03-01 10:00:00,37,1,167.86,16,2,0
121,2026-03-01 10:00:00,44,44,122.71,20,0,0
122,2026-03-01 10:00:00,42,8,129.52,18,1,0
