user_id,event_timestamp,age,tenure_months,monthly_spend,num_logins_last_30d,num_support_tickets,churn
1,2026-02-17 10:26:16.827297,56,29,114.04,12,8,1
2,2026-02-18 10:26:16.827297,46,47,165.29,10,7,1
3,2026-02-07 10:26:16.827297,32,4,95.94,45,1,0
4,2026-02-11 10:26:16.827297,25,12,132.28,18,7,1
5,2026-02-08 10:26:16.827297,38,45,110.02,10,6,1
6,2026-02-07 10:26:16.827297,56,2,149.0,12,5,0
7,2026-02-06 10:26:16.827297,36,27,25.51,45,0,0
8,2026-02-27 10:26:16.827297,40,31,21.47,44,6,1
9,2026-02-26 10:26:16.827297,28,51,56.95,0,9,1
10,2026-02-15 10:26:16.827297,28,51,40.31,39,6,1
11,2026-02-21 10:26:16.827297,41,36,175.64,43,8,1
12,2026-02-16 10:26:16.827297,53,36,51.65,18,0,0
13,2026-02-20 10:26:16.827297,57,26,195.41,11,1,0
14,2026-02-17 10:26:16.827297,41,43,74.01,7,8,1
15,2026-02-09 10:26:16.827297,20,27,44.6,7,8,1
16,2026-02-28 10:26:16.827297,39,5,160.04,44,5,0
17,2026-02-05 10:26:16.827297,19,20,135.15,11,5,0
18,2026-02-14 10:26:16.827297,41,11,104.66,47,3,0
19,2026-02-11 10:26:16.827297,47,10,115.52,32,3,0
20,2026-02-04 10:26:16.827297,55,40,146.65,44,4,0
21,2026-03-01 10:26:16.827297,19,38,53.41,25,2,0
22,2026-02-10 10:26:16.827297,38,6,199.3,38,0,0
23,2026-02-24 10:26:16.827297,50,8,195.21,27,0,0
24,2026-02-09 10:26:16.827297,29,23,133.56,4,6,1
25,2026-03-01 10:26:16.827297,39,47,47.91,7,0,0
26,2026-02-24 10:26:16.827297,42,26,139.24,24,0,0
27,2026-02-14 10:26:16.827297,44,46,23.72,26,2,0
28,2026-02-22 10:26:16.827297,59,43,15.82,45,9,1
29,2026-02-07 10:26:16.827297,45,12,58.96,22,3,0
30,2026-02-12 10:26:16.827297,33,26,97.9,29,3,0
31,2026-02-15 10:26:16.827297,32,13,174.97,44,1,0
32,2026-02-24 10:26:16.827297,20,40,148.16,46,0,0
33,2026-02-09 10:26:16.827297,54,18,151.11,22,2,0
34,2026-02-21 10:26:16.827297,24,25,90.84,48,3,0
35,2026-02-03 10:26:16.827297,38,33,75.73,46,2,0
36,2026-02-27 10:26:16.827297,26,47,80.5,19,7,1
37,2026-02-06 10:26:16.827297,56,40,197.65,17,9,1
38,2026-02-19 10:26:16.827297,35,43,17.62,17,0,0
39,2026-02-11 10:26:16.827297,21,12,174.74,1,1,0
40,2026-02-09 10:26:16.827297,42,44,119.95,3,6,1
41,2026-02-27 10:26:16.827297,31,36,93.34,29,3,0
42,2026-02-08 10:26:16.827297,26,48,147.8,32,7,1
43,2026-02-05 10:26:16.827297,43,4,102.47,35,2,0
44,2026-02-19 10:26:16.827297,19,5,175.95,17,5,0
45,2026-02-26 10:26:16.827297,37,56,181.13,36,8,1
46,2026-02-03 10:26:16.827297,45,37,90.13,18,0,0
47,2026-02-27 10:26:16.827297,24,8,62.6,46,0,0
48,2026-02-23 10:26:16.827297,25,42,122.55,27,7,1
49,2026-02-05 10:26:16.827297,52,49,183.35,39,2,0
50,2026-02-16 10:26:16.827297,31,28,50.03,19,4,0
51,2026-03-02 10:26:16.827297,34,31,128.36,48,0,0
52,2026-03-03 10:26:16.827297,53,58,130.0,32,4,0
53,2026-02-24 10:26:16.827297,57,9,149.29,11,5,0
54,2026-02-04 10:26:16.827297,21,54,35.0,14,7,1
55,2026-02-13 10:26:16.827297,19,51,146.01,40,2,0
56,2026-02-02 10:26:16.827297,23,29,182.72,38,2,0
57,2026-02-21 10:26:16.827297,59,14,44.14,1,9,1
58,2026-02-04 10:26:16.827297,21,40,55.13,28,8,1
59,2026-02-20 10:26:16.827297,46,41,194.57,40,3,0
60,2026-02-20 10:26:16.827297,35,22,44.39,9,3,0
61,2026-02-25 10:26:16.827297,43,11,172.33,1,6,1
62,2026-02-06 10:26:16.827297,51,23,103.53,10,1,0
63,2026-02-19 10:26:16.827297,27,1,56.97,12,7,1
64,2026-02-05 10:26:16.827297,53,46,175.44,9,5,0
65,2026-02-24 10:26:16.827297,31,37,94.61,13,2,0
66,2026-02-03 10:26:16.827297,48,21,107.82,17,8,1
67,2026-02-03 10:26:16.827297,32,26,78.25,8,4,0
68,2026-02-10 10:26:16.827297,25,46,122.66,38,7,1
69,2026-02-04 10:26:16.827297,31,36,41.07,27,6,1
70,2026-02-06 10:26:16.827297,40,54,84.31,2,7,1
71,2026-02-02 10:26:16.827297,57,23,194.19,19,6,1
72,2026-02-23 10:26:16.827297,38,57,59.05,5,2,0
73,2026-02-25 10:26:16.827297,33,1,134.78,26,1,0
74,2026-02-06 10:26:16.827297,35,54,71.79,1,6,1
75,2026-02-11 10:26:16.827297,41,55,156.96,28,2,0
76,2026-02-08 10:26:16.827297,43,51,34.87,37,2,0
77,2026-02-17 10:26:16.827297,42,40,194.27,2,1,0
78,2026-03-02 10:26:16.827297,58,15,96.22,15,3,0
79,2026-02-09 10:26:16.827297,46,21,54.85,29,7,1
80,2026-02-12 10:26:16.827297,32,47,23.96,39,0,0
81,2026-02-07 10:26:16.827297,18,9,42.25,1,0,0
82,2026-02-20 10:26:16.827297,42,53,108.76,16,4,0
83,2026-03-03 10:26:16.827297,24,9,74.03,40,4,0
84,2026-02-09 10:26:16.827297,26,10,167.49,11,0,0
85,2026-02-10 10:26:16.827297,41,52,91.87,34,5,0
86,2026-02-24 10:26:16.827297,18,57,57.26,42,0,0
87,2026-02-27 10:26:16.827297,25,53,127.26,0,4,0
88,2026-02-17 10:26:16.827297,41,26,144.29,44,8,1
89,2026-03-03 10:26:16.827297,28,41,41.74,14,4,0
90,2026-03-03 10:26:16.827297,34,35,41.85,25,5,0
91,2026-02-07 10:26:16.827297,25,52,16.97,36,7,1
92,2026-02-22 10:26:16.827297,52,25,149.92,20,0,0
93,2026-02-10 10:26:16.827297,52,26,136.12,48,1,0
94,2026-02-22 10:26:16.827297,50,11,100.18,30,8,1
95,2026-02-11 10:26:16.827297,22,38,170.39,24,2,0
96,2026-02-17 10:26:16.827297,59,2,163.08,22,5,0
97,2026-02-15 10:26:16.827297,56,7,121.22,23,4,0
98,2026-02-10 10:26:16.827297,58,18,174.97,37,1,0
